"VarName","Age","centile_5","centile_25","centile_50","centile_75","centile_95"
"MUSE_701",80,978586.597144383,1078246.79678253,1150457.70520951,1225083.82832066,1336691.94961562
"MUSE_701",81,975031.63185036,1075534.76477773,1147771.48165507,1221933.02134114,1331960.9844321
"MUSE_701",82,971397.215731349,1072814.70709089,1145089.3497288,1218781.86397162,1327219.69411564
"MUSE_701",83,967688.809327851,1070088.19813969,1142411.45260013,1215632.4167461,1322480.66451249
"MUSE_701",84,963910.90135,1067356.68759191,1139737.98327777,1212486.42005988,1317753.9372998
"MUSE_701",85,960065.982793629,1064621.39202583,1137069.22045888,1209345.14749265,1313046.22766732
"MUSE_701",86,956156.48952968,1061883.51892543,1134405.44877172,1206209.78410502,1308363.40137725
"MUSE_701",87,952184.958360205,1059144.27267639,1131746.94542692,1203081.44891665,1303710.67899428
"MUSE_701",88,948152.660500214,1056404.58354444,1129093.921029,1199960.96651443,1299091.64005404
"MUSE_701",89,944059.897554736,1053665.18444659,1126446.53803822,1196848.94931114,1294508.69806741
"MUSE_701",90,939907.023479028,1050926.81758378,1123804.95629899,1193745.97969002,1289963.97918718
"MUSE_701",91,935694.306893965,1048190.19822825,1121169.31790932,1190652.58046195,1285459.24280625
"MUSE_701",92,931421.242111558,1045455.86213849,1118539.68945409,1187569.09369887,1280995.49126609
"MUSE_701",93,927087.144563793,1042724.31153325,1115916.1200162,1184495.80178374,1276573.42491176
"MUSE_601",21,664622.848085762,721618.570286765,763068.344647823,806051.61776585,870633.573781371
"MUSE_601",22,661464.066075656,718450.99956685,759835.168791438,802698.741571853,867004.107910827
"MUSE_601",23,658318.301280528,715296.928170569,756615.65217136,799359.825079281,863389.860786173
"MUSE_601",24,655185.709947252,712156.329213868,753409.721528812,796034.823070209,859790.964840928
"MUSE_601",25,652066.854427502,709029.262062433,750217.316507445,792723.761143039,856207.952297818
"MUSE_601",26,648963.705203746,705916.083477604,747038.419806732,789426.908314875,852642.735665277
"MUSE_601",27,645878.564807932,702817.215724135,743873.022909696,786144.584168665,849097.496344612
"MUSE_601",28,642813.774325032,699733.085304207,740721.118016639,782877.107023131,845574.386331027
"MUSE_601",29,639772.056327675,696664.254459014,737582.754975826,779624.84114144,842075.685539806
"MUSE_601",30,636756.647669619,693611.471095305,734458.062323435,776388.21464321,838603.864884549
"MUSE_601",31,633770.838572881,690575.494061514,731347.171543334,773167.657528885,835161.389944602
"MUSE_601",32,630817.785620898,687557.058281315,728250.212704663,769963.567662935,831750.542320945
"MUSE_601",33,627899.214957453,684556.688440395,725167.328796638,766776.04054583,828371.86238771
"MUSE_601",34,625015.991051101,681574.782173214,722098.668837463,763604.996138345,825024.896510501
"MUSE_601",35,622168.926364383,678611.727256056,719044.378634644,760450.352368052,821709.205460812
"MUSE_601",36,619358.56740294,675667.850281412,716004.587386081,757311.985637857,818424.17073209
"MUSE_601",37,616584.61181218,672743.279024524,712979.373054353,754189.621875379,815168.454323105
"MUSE_601",38,613846.532554084,669838.090499056,709968.800531044,751082.953353085,811940.571027838
"MUSE_601",39,611143.743373204,666952.348824783,706972.93054797,747991.667633665,808739.031906704
"MUSE_601",40,608474.585073677,664085.831791819,703991.712346785,744915.202623551,805561.338927788
"MUSE_601",41,605835.887623925,661237.911562517,701024.937578992,741852.638089039,802403.525053902
"MUSE_601",42,603224.379245368,658407.931014725,698072.3883023,738803.030101157,799261.505367603
"MUSE_601",43,600636.960535961,655595.26291837,695133.848024554,735765.45752155,796131.321208427
"MUSE_601",44,598072.115482822,652799.568060874,692209.088411421,732739.199735437,793010.450177972
"MUSE_601",45,595529.283086283,650020.681515555,689297.875263348,729723.660905642,789897.24977537
"MUSE_601",46,593007.917510701,647258.440884221,686399.977395875,726718.252951514,786790.09350641
"MUSE_601",47,590507.958240465,644512.790959543,683515.225341598,723722.592319973,783688.111845373
"MUSE_601",48,588031.170420737,641784.082023665,680643.674234085,720737.053917721,780593.307583628
"MUSE_601",49,585579.710721541,639072.753388071,677785.430335325,717762.189366722,777508.367968043
"MUSE_601",50,583155.668233504,636379.232350768,674940.59819382,714798.547033178,774435.976850802
"MUSE_601",51,580760.479338877,633703.810809349,672109.325322868,711846.748133809,771378.677589916
"MUSE_601",52,578394.642917487,631046.584398111,669291.82421997,708907.524020441,768338.800210561
"MUSE_601",53,576058.547889654,628407.627383882,666488.308654787,705981.606636282,765318.653379829
