VarName,Age,centile_5,centile_25,centile_50,centile_75,centile_95
DL_MUSE_Volume_701,80,1154193.12638027,1190441.7930819,1215102.98353229,1239502.80612876,1274441.88420931
DL_MUSE_Volume_701,81,1151208.56857328,1187589.86104475,1212432.37120411,1237065.14765229,1272397.15031241
DL_MUSE_Volume_701,82,1148217.9829619,1184734.76128771,1209760.15456225,1234629.51578471,1270366.72281265
DL_MUSE_Volume_701,83,1145225.22927269,1181879.83431486,1207089.6356703,1232199.24762641,1268353.88462417
DL_MUSE_Volume_701,84,1142234.1408498,1179028.46998219,1204424.18077478,1229777.76040813,1266362.06971332
DL_MUSE_Volume_701,85,1139248.59803894,1176184.17295953,1201767.28566854,1227368.61706704,1264394.92462993
DL_MUSE_Volume_701,86,1136272.39918441,1173350.42178843,1199122.43085511,1224975.37781672,1262456.15167075
DL_MUSE_Volume_701,87,1133309.02946505,1170530.42319078,1196492.82942995,1222601.34183567,1260549.23904575
DL_MUSE_Volume_701,88,1130358.84260765,1167724.19841778,1193878.44785642,1220246.50213454,1258674.32050767
DL_MUSE_Volume_701,89,1127419.95439872,1164929.49395781,1191276.93226637,1217908.48695945,1256829.13312312
DL_MUSE_Volume_701,90,1124490.42267055,1162144.02358648,1188685.89767483,1215584.89628441,1255011.41770504
DL_MUSE_Volume_701,91,1121568.52250688,1159365.74965249,1186103.21520514,1213273.59515047,1253219.22038379
DL_MUSE_Volume_701,92,1118653.55018835,1156593.71207779,1183527.86032789,1210973.58167248,1251451.78956509
DL_MUSE_Volume_701,93,1115745.0846663,1153827.26287361,1180959.13003473,1208684.18693318,1249708.75041524
DL_MUSE_Volume_601,40,670156.284603201,697571.53616769,715807.659082881,733441.511267811,757856.518407081
DL_MUSE_Volume_601,41,667798.362592454,695455.111747379,713752.131492178,731375.055621943,755669.674592671
DL_MUSE_Volume_601,42,665474.018220882,693362.921691384,711719.068779174,729333.747190938,753519.944711529
DL_MUSE_Volume_601,43,663187.805034448,691298.883839061,709712.41480996,727321.639791804,751411.311344961
DL_MUSE_Volume_601,44,660944.449368492,689267.611006349,707736.91785635,725343.542351592,749348.24870955
DL_MUSE_Volume_601,45,658748.703962706,687274.108324131,705797.790088738,723404.69828249,747335.522365898
DL_MUSE_Volume_601,46,656605.193665073,685323.325034618,703900.196179035,721510.30497726,745377.884623168
DL_MUSE_Volume_601,47,654516.047943608,683417.694691553,702046.728246014,719662.923257719,743477.385985462
DL_MUSE_Volume_601,48,652474.296670705,681550.281531588,700230.370425631,717855.256454183,741625.880986953
DL_MUSE_Volume_601,49,650470.844588737,679712.002344286,698441.904763017,716077.74644968,739812.901372233
DL_MUSE_Volume_601,50,648496.658524206,677893.888746237,696672.231393588,714320.953947854,738028.121720497
DL_MUSE_Volume_601,51,646544.131074381,676088.299675547,694913.578525441,712576.824336158,736262.777374774
DL_MUSE_Volume_601,52,644607.781249724,674289.530529822,693160.109213863,710839.323812194,734510.377760836
DL_MUSE_Volume_601,53,642682.329271945,672492.087552726,691406.198371103,709102.637253587,732764.681327992
DL_MUSE_Volume_601,54,640762.304679588,670690.293940784,689646.030535953,707360.753351655,731019.255851171
DL_MUSE_Volume_601,55,638839.794864148,668875.818497126,687871.037699083,705604.847251312,729264.826600952
DL_MUSE_Volume_601,56,636905.387565246,667038.698985143,686070.957660863,703824.360611118,727490.368830168
DL_MUSE_Volume_601,57,634949.736445017,665169.056966926,684235.610913739,702008.816039189,725684.943855553
DL_MUSE_Volume_601,58,632963.136276895,663256.83706823,682354.662484711,700147.550264201,723837.326645921
DL_MUSE_Volume_601,59,630934.164708912,661290.939453308,680416.81960085,698228.823236715,721934.796183865
DL_MUSE_Volume_601,60,628851.040095764,659260.114278313,678410.665173623,696240.737517208,719964.361980201
DL_MUSE_Volume_601,61,626702.161463344,657153.336234243,676325.012568237,694171.624856183,717913.258775287
DL_MUSE_Volume_601,62,624480.634758638,654964.105606212,674153.263834533,692014.577628761,715773.867675735
DL_MUSE_Volume_601,63,622186.843946621,652692.875821116,671895.869216138,689770.011249067,713546.511982978
DL_MUSE_Volume_601,64,619821.820674045,650340.732588617,669553.921948967,687439.008715381,711232.237157386
DL_MUSE_Volume_601,65,617386.99678066,647909.124464363,667128.879685143,685023.036297553,708832.522502286
DL_MUSE_Volume_601,66,614888.491798171,645403.570732046,664626.259959627,682527.843743755,706353.745050651
DL_MUSE_Volume_601,67,612335.478748329,642832.227822437,662054.208667257,679961.960315756,703805.481136327
DL_MUSE_Volume_601,68,609737.09534937,640203.212055488,659420.830592086,677333.880992274,701197.299283213
DL_MUSE_Volume_601,69,607104.164712541,637526.564534586,656736.238571092,674654.153937944,698540.847290132
