VarName,Age,centile_5,centile_25,centile_50,centile_75,centile_95
GM,22,662186.101056388,707550.408361389,739082.66243115,770614.91650091,815979.223805912
GM,23,658840.624928661,704140.535860681,735628.028687194,767115.521513707,812415.432445727
GM,24,655492.033393468,700727.639096732,732170.434033392,763613.228970053,808848.834673317
GM,25,652140.116064292,697311.507418762,728709.667635278,760107.827851794,805279.219206264
GM,26,648786.721248691,693893.988734693,725247.57712299,756601.165511288,801708.432997289
GM,27,645434.14281553,690477.376486014,721786.455640953,753095.534795892,798138.768466376
GM,28,642084.739210169,687064.028692257,718328.660912711,749593.293133165,794572.582615253
GM,29,638743.775658033,683659.210139806,714879.457419472,746099.704699138,791015.139180911
GM,30,635420.540102406,680272.208313999,711448.132328266,742624.056342532,787475.724554125
GM,31,632124.615662545,676912.605876695,708044.267983014,739175.930089333,783963.920303483
GM,32,628865.697181233,673590.097233811,704677.558485975,735765.019738139,780489.419790717
GM,33,625654.616932778,670315.51441244,701358.835692406,732402.156972372,777063.054452034
GM,34,622502.871008543,667100.353367002,698099.595461536,729098.83755607,773696.319914529
GM,35,619421.963762756,663956.118316408,694911.341918222,725866.565520036,770400.720073688
GM,36,616422.01675055,660892.93063034,691804.196303239,722715.461976139,767186.375855929
GM,37,613508.126078141,657915.88604722,688783.254099362,719650.622151504,764058.382120582
GM,38,610684.246554367,655028.938968199,685852.469424359,716675.999880519,761020.692294351
GM,39,607954.217240616,652235.928048172,683015.680650579,713795.433252986,758077.144060542
GM,40,605316.099819884,649534.914534865,680270.948723195,711006.982911525,755225.797626505
GM,41,602759.614596332,646915.618255043,677607.993137139,708300.368019236,752456.371677946
GM,42,600273.8315425,644367.108702637,675015.883053669,705664.6574047,749757.934564838
GM,43,597847.959881211,641878.594577902,672483.826809803,703089.059041704,747119.693738395
GM,44,595472.708461249,639440.78371278,670002.531530689,700564.279348599,744532.354600129
GM,45,593139.699877339,637045.2973882,667563.617584052,698081.937779905,741987.535290765
GM,46,590840.569705815,634683.769869416,665158.718323829,695633.666778241,739476.866941842
GM,47,588568.64150856,632349.523472057,662781.155199386,693212.786926715,736993.668890211
GM,48,586323.674479999,630042.316371063,660430.685677033,690819.054983004,734537.696874067
GM,49,584106.961302001,627763.440286578,658108.600808429,688453.76133028,732110.240314858
GM,50,581919.795895819,625514.188190748,655816.192906005,686118.197621263,729712.589916192
