VarName,Age,centile_2.5,centile_50,centile_97.5
male_AF_left,28.80680680680681,21812.36900588965,38706.20078819077,50095.89102386264
male_AF_left,28.8967967967968,21797.718174575846,38692.98578433395,50083.12629022951
male_AF_left,28.98678678678679,21783.059608344716,38679.75292269824,50070.33779760794
male_AF_left,29.076776776776786,21768.39355907189,38666.50262705453,50057.52608807788
male_AF_left,29.16676676676677,21753.72027526903,38653.23531574115,50044.69169686905
male_AF_left,29.25675675675676,21739.040002130914,38639.95140173919,50031.83515245555
male_AF_left,29.346746746746756,21724.352981581465,38626.65129274589,50018.95697664818
male_AF_left,29.43673673673674,21709.659452319072,38613.33539124696,50006.057684685424
male_AF_left,29.52672672672673,21694.959649861437,38600.004094588265,49993.13778532351
male_AF_left,29.61671671671672,21680.253806589222,38586.65779504555,49980.19778092408
male_AF_left,29.70670670670671,21665.54215178972,38573.29687989396,49967.23816754164
male_AF_left,29.796696696696703,21650.82491169923,38559.92173147602,49954.25943500904
male_AF_left,29.88668668668669,21636.10230954488,38546.53272726811,49941.26206702101
male_AF_left,29.97667667667668,21621.374565586204,38533.13023994716,49928.24654121813
male_AF_left,30.06666666666667,21606.64189715555,38519.71463745492,49915.21332926749
male_AF_left,30.15665665665666,21591.904518698186,38506.2862830622,49902.16289694367
male_AF_left,30.246646646646653,21577.162641811487,38492.84553543141,49889.095704207226
male_AF_left,30.33663663663664,21562.41647528408,38479.392748679085,49876.01220528331
male_AF_left,30.426626626626632,21547.666225133635,38465.92827243622,49862.91284873771
male_AF_left,30.51661661661662,21532.912094644696,38452.45245190878,49849.79807755283
male_AF_left,30.60660660660661,21518.1542844056,38438.96562793663,49836.668329201726
male_AF_left,30.696596596596603,21503.392992344838,38425.468137051656,49823.52403572138
male_AF_left,30.78658658658659,21488.628413767183,38411.96031153551,49810.36562378518
male_AF_left,30.876576576576586,21473.86074138878,38398.442479475656,49797.193514773455
male_AF_left,30.96656656656657,21459.090165372007,38384.91496482104,49784.00812484354
male_AF_left,31.05655655655656,21444.316873359887,38371.3780874372,49770.80986499898
male_AF_left,31.146546546546556,21429.541050509622,38357.832163159736,49757.599141156905
male_AF_left,31.23653653653654,21414.762879526024,38344.27750384781,49744.3763542152
male_AF_left,31.32652652652653,21399.98254069409,38330.714417436255,49731.14190011816
male_AF_left,31.41651651651652,21385.200211911528,38317.14320798748,49717.89616992167
male_AF_left,31.50650650650651,21370.416068720075,38303.56417574159,49704.63954985633
male_AF_left,31.596496496496503,21355.630284337232,38289.97761716709,49691.37242139121
male_AF_left,31.68648648648649,21340.843029686795,38276.383825009776,49678.09516129533
male_AF_left,31.77647647647648,21326.054473429336,38262.78308834136,49664.808141698806
male_AF_left,31.86646646646647,21311.26478199207,38249.17569260732,49651.51173015315
male_AF_left,31.95645645645646,21296.47411959844,38235.5619196742,49638.206289690606
male_AF_left,32.04644644644645,21281.68264829692,38221.94204787559,49624.89217888216
male_AF_left,32.13643643643644,21266.89052798974,38208.316352058224,49611.5697518954
male_AF_left,32.22642642642643,21252.09791646106,38194.68510362685,49598.23935855101
male_AF_left,32.31641641641642,21237.304969404813,38181.048570588966,49584.90134437912
male_AF_left,32.40640640640641,21222.51184045193,38167.40701759823,49571.55605067378
male_AF_left,32.4963963963964,21207.71868119725,38153.76070599756,49558.2038145473
male_AF_left,32.586386386386394,21192.925641226266,38140.109893861954,49544.84496898407
male_AF_left,32.67637637637638,21178.13286814119,38126.45483604013,49531.479842892986
male_AF_left,32.76636636636637,21163.3405075866,38112.79578419564,49518.10876115909
male_AF_left,32.85635635635636,21148.548703275286,38099.13298684817,49504.73204469572
male_AF_left,32.94634634634635,21133.75759701263,38085.46668941258,49491.35001049338
male_AF_left,33.03633633633634,21118.96732872194,38071.79713423948,49477.96297167101
male_AF_left,33.12632632632633,21104.178036468413,38058.12456065354,49464.571237524055
male_AF_left,33.21631631631632,21089.3898564832,38044.44920499203,49451.175113573074
male_AF_left,33.30630630630631,21074.60292318701,38030.77130064261,49437.77490161118
male_AF_left,33.3962962962963,21059.81736921354,38017.09107808086,49424.37089975136
male_AF_left,33.486286286286294,21045.033325432098,38003.40876490648,49410.96340247193
male_AF_left,33.57627627627628,21030.250920970604,37989.72458588005,49397.552700662935
male_AF_left,33.66626626626627,21015.470283237788,37976.03876295879,49384.13908167099
male_AF_left,33.75625625625626,21000.691537944957,37962.351515331145,49370.72282934294
male_AF_left,33.84624624624625,20985.914809127866,37948.66305945201,49357.30422407012
male_AF_left,33.93623623623624,20971.14021916825,37934.97360907715,49343.88354283168
male_AF_left,34.02622622622623,20956.36788881456,37921.283375296414,49330.46105923642
male_AF_left,34.11621621621622,20941.597937202776,37907.59256656709,49317.03704356471
male_AF_left,34.20620620620621,20926.83048187712,37893.90138874708,49303.611762810346
male_AF_left,34.2961961961962,20912.065638810072,37880.21004512697,49290.18548072079
male_AF_left,34.386186186186194,20897.30352242225,37866.51873646192,49276.75845783742
male_AF_left,34.47617617617618,20882.54424560211,37852.82766100316,49263.330951535085
male_AF_left,34.56616616616617,20867.7879197253,37839.13701452911,49249.90321606138
male_AF_left,34.656156156156165,20853.03465467357,37825.446990375545,49236.47550257451
male_AF_left,34.74614614614615,20838.2845588538,37811.75777946623,49223.048059181885
male_AF_left,34.83613613613614,20823.537739216583,37798.06957034268,49209.621130977685
male_AF_left,34.92612612612613,20808.79430127416,37784.38254919282,49196.19496007879
male_AF_left,35.01611611611612,20794.0543491189,37770.69689988078,49182.76978566233
male_AF_left,35.10610610610611,20779.317985440684,37757.012803974576,49169.34584400064
male_AF_left,35.1960960960961,20764.585311544877,37743.33044077508,49155.92336849759
male_AF_left,35.286086086086094,20749.85642736929,37729.64998734318,49142.50258972287
male_AF_left,35.37607607607608,20735.13143150132,37715.97161852722,49129.08373544648
male_AF_left,35.46606606606607,20720.41042119492,37702.2955069903,49115.66703067318
male_AF_left,35.556056056056065,20705.693492387065,37688.621823236615,49102.25269767557
male_AF_left,35.64604604604605,20690.980739714018,37674.950735637576,49088.840956026994
male_AF_left,35.73603603603604,20676.272256527856,37661.28241045839,49075.4320226351
