VarName,Age,centile_5,centile_25,centile_50,centile_75,centile_95
TotalBrain,64,1132796.24288847,1232026.30062513,1301000.07268941,1369973.84475369,1469203.90249035
TotalBrain,65,1130489.07508689,1229269.11480912,1297930.08407293,1366591.05333673,1465371.09305897
TotalBrain,66,1128231.14792392,1226513.7918082,1294829.02644346,1363144.26107871,1461426.90496299
TotalBrain,67,1126011.00092953,1223751.88352466,1291690.5455717,1359629.20761874,1457370.09021388
TotalBrain,68,1123817.13190275,1220974.92859859,1288508.29375445,1356041.65891031,1453199.45560615
TotalBrain,69,1121636.47090844,1218174.16752143,1285276.50761547,1352378.8477095,1448916.5443225
TotalBrain,70,1119453.31948285,1215340.36325438,1281990.44138461,1348640.51951484,1444527.56328637
TotalBrain,71,1117251.91749925,1212464.31368301,1278645.45135302,1344826.58902303,1440038.98520678
TotalBrain,72,1115016.99348843,1209537.13565846,1275237.09482628,1340937.05399411,1435457.19616414
TotalBrain,73,1112735.86778371,1206552.15115712,1271762.86545993,1336973.57976274,1430789.86313616
TotalBrain,74,1110397.43022324,1203503.96414557,1268221.33905123,1332938.7139569,1426045.24787922
TotalBrain,75,1107990.86760902,1200387.30903584,1264611.10609779,1328834.90315973,1421231.34458655
TotalBrain,76,1105508.9205424,1197199.13581668,1260932.04248934,1324664.94916201,1416355.16443629
TotalBrain,77,1102952.92651855,1193941.86915371,1257187.32857229,1320432.78799088,1411421.73062603
TotalBrain,78,1100325.60213023,1190618.80816923,1253380.66837913,1316142.52858902,1406435.73462802
TotalBrain,79,1097629.84932599,1187233.39182909,1249515.87415076,1311798.35647242,1401401.89897553
TotalBrain,80,1094871.08817056,1183791.1268259,1245598.51279395,1307405.89876199,1396325.93741733
TotalBrain,81,1092056.75975283,1180299.18843962,1241635.57482764,1302971.96121566,1391214.38990245
TotalBrain,82,1089194.35149494,1176764.79518948,1237634.0918595,1298503.38852951,1386073.83222405
TotalBrain,83,1086291.28531241,1173195.05338112,1233600.95081802,1294006.84825492,1380910.61632363
TotalBrain,84,1083354.75807182,1169596.64571719,1229542.47701592,1289488.30831466,1375730.19596002
TotalBrain,85,1080391.88997615,1165976.14308211,1225464.85951206,1284953.575942,1370537.82904797
TotalBrain,86,1077409.70570356,1162340.04589854,1221374.23432456,1280408.42275057,1365338.76294555
TotalBrain,87,1074413.08238588,1158693.00228339,1217275.0903845,1275857.17848561,1360137.09838313
TotalBrain,88,1071404.40895418,1155037.50353608,1213169.99014646,1271302.47675683,1354935.57133873
TotalBrain,89,1068386.04197443,1151376.05004979,1209061.53397639,1266747.01790299,1349737.02597836
TotalBrain,90,1065359.65948146,1147710.37175165,1204951.48787122,1262192.60399079,1344543.31626098
TotalBrain,91,1062325.92220075,1144041.44436059,1200841.04649853,1257640.64863647,1339356.17079632
TotalBrain,92,1059284.49417102,1140369.17220065,1196730.28120215,1253091.39020366,1334176.06823329
GM,40,664246.932959186,718492.705446146,754303.225638872,788775.536305369,836315.732522314
GM,41,661123.85990366,715394.775721458,751250.150410606,785785.193901886,833441.207629068
GM,42,658030.389214958,712314.927154472,748208.310847647,782800.046133343,830564.396737083
GM,43,654968.735039513,709253.855314006,745177.416468771,779818.866693977,827682.805448444
GM,44,651941.081874352,706212.250514484,742157.178900938,776840.432963658,824793.93763819
GM,45,648949.567431858,703190.790359359,739147.310228145,773863.529534677,821895.305506824
GM,46,645996.297302792,700190.147632771,736147.526384256,770886.947212904,818984.422391016
GM,47,643083.22023257,697210.95269775,733157.564451319,767909.551431181,816058.939180543
