Index,Code,Name
141,MUSE_141,MedialFrontalCortex_L
142,MUSE_142,MiddleFrontalGyrus_R
143,MUSE_143,MiddleFrontalGyrus_L
144,MUSE_144,MiddleOccipitalGyrus_R
145,MUSE_145,MiddleOccipitalGyrus_L
146,MUSE_146,MedialOrbitalGyrus_R
147,MUSE_147,MedialOrbitalGyrus_L
148,MUSE_148,PostcentralGyrusMedialSegment_R
149,MUSE_149,PostcentralGyrusMedialSegment_L
150,MUSE_150,PrecentralGyrusMedialSegment_R
151,MUSE_151,PrecentralGyrusMedialSegment_L
152,MUSE_152,SuperiorFrontalGyrusMedialSegment_R
153,MUSE_153,SuperiorFrontalGyrusMedialSegment_L
154,MUSE_154,MiddleTemporalGyrus_R
155,MUSE_155,MiddleTemporalGyrus_L
156,MUSE_156,OccipitalPole_R
157,MUSE_157,OccipitalPole_L
160,MUSE_160,OccipitalFusiformGyrus_R
161,MUSE_161,OccipitalFusiformGyrus_L
162,MUSE_162,OpercularPartInferiorFrontalGyrus_R
163,MUSE_163,OpercularPartInferiorFrontalGyrus_L
164,MUSE_164,OrbitalPartInferiorFrontalGyrus_R
165,MUSE_165,OrbitalPartInferiorFrontalGyrus_L
166,MUSE_166,PosteriorCingulateGyrus_R
167,MUSE_167,PosteriorCingulateGyrus_L
168,MUSE_168,Precuneus_R
169,MUSE_169,Precuneus_L
170,MUSE_170,ParahippocampalGyrus_R
171,MUSE_171,ParahippocampalGyrus_L
172,MUSE_172,PosteriorInsula_R
173,MUSE_173,PosteriorInsula_L
174,MUSE_174,ParietalOperculum_R
175,MUSE_175,ParietalOperculum_L
176,MUSE_176,PostcentralGyrus_R
177,MUSE_177,PostcentralGyrus_L
178,MUSE_178,PosteriorOrbitalGyrus_R
179,MUSE_179,PosteriorOrbitalGyrus_L
180,MUSE_180,PlanumPolare_R
181,MUSE_181,PlanumPolare_L
182,MUSE_182,PrecentralGyrus_R
183,MUSE_183,PrecentralGyrus_L
184,MUSE_184,PlanumTemporale_R
185,MUSE_185,PlanumTemporale_L
186,MUSE_186,SubcallosalArea_R
187,MUSE_187,SubcallosalArea_L
190,MUSE_190,SuperiorFrontalGyrus_R
191,MUSE_191,SuperiorFrontalGyrus_L
192,MUSE_192,SupplementaryMotorCortex_R
193,MUSE_193,SupplementaryMotorCortex_L
194,MUSE_194,SupramarginalGyrus_R
195,MUSE_195,SupramarginalGyrus_L
196,MUSE_196,SuperiorOccipitalGyrus_R
197,MUSE_197,SuperiorOccipitalGyrus_L
198,MUSE_198,SuperiorParietalLobule_R
199,MUSE_199,SuperiorParietalLobule_L
200,MUSE_200,SuperiorTemporalGyrus_R
201,MUSE_201,SuperiorTemporalGyrus_L
202,MUSE_202,TemporalPole_R
203,MUSE_203,TemporalPole_L
204,MUSE_204,TriangularPartInferiorFrontalGyrus_R
205,MUSE_205,TriangularPartInferiorFrontalGyrus_L
206,MUSE_206,TransverseTemporalGyrus_R
207,MUSE_207,TransverseTemporalGyrus_L
