,Unnamed: 0,ROI_Name,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
1986,1986,ThalamusProper_L_PercICV,60.6,0.479416930295084,0.494868013780481,0.519097085860023,0.544434041825242,0.568879484601193,0.590692058405499,0.603863959446664
1987,1987,ThalamusProper_L_PercICV,61.6,0.475872094066459,0.491403459237836,0.515746498176234,0.541211222218592,0.56582023320847,0.587840263817672,0.601176068524693
1988,1988,ThalamusProper_L_PercICV,62.6,0.473318470080196,0.488682089827139,0.512760203842219,0.537968881918798,0.562383151749724,0.584301570182712,0.597620017326363
1989,1989,ThalamusProper_L_PercICV,63.6,0.471556023998189,0.486549727397141,0.510051559243024,0.534685132311224,0.558602733883768,0.58015532350142,0.593299614732464
1990,1990,ThalamusProper_L_PercICV,64.6,0.470225158829952,0.484730923004268,0.507471419846931,0.53133591042225,0.554568971091894,0.575587783966672,0.588456733244678
1991,1991,ThalamusProper_L_PercICV,65.6,0.468826395544624,0.482842644053312,0.504814008816508,0.527894744761702,0.550423408132945,0.570886907853532,0.583466356856231
1992,1992,ThalamusProper_L_PercICV,66.6,0.466918022081966,0.480546535017178,0.501900005005795,0.52434584097173,0.546306728404127,0.566333084216107,0.578693712703146
1993,1993,ThalamusProper_L_PercICV,67.6,0.464129415597058,0.477560672906756,0.498584898616194,0.520687855794186,0.542357333867692,0.562192640299988,0.574484604057261
1994,1994,ThalamusProper_L_PercICV,68.6,0.46022502101309,0.4737156535283,0.494801842454839,0.516961818950769,0.53872380080651,0.558715615941562,0.571153933821889
1995,1995,ThalamusProper_L_PercICV,69.6,0.455118176834405,0.468960670149212,0.490555019702226,0.513230292653327,0.535529164582044,0.556085563143838,0.56892612268287
1996,1996,ThalamusProper_L_PercICV,70.6,0.449329363776859,0.463703930025387,0.486079196501672,0.509549942719711,0.532661433544791,0.554042957237215,0.567454214686531
1997,1997,ThalamusProper_L_PercICV,71.6,0.443664664660474,0.458567894467199,0.48171433352626,0.505969470578261,0.529888777785036,0.55210323433013,0.566099007969659
1998,1998,ThalamusProper_L_PercICV,72.6,0.439097941149499,0.454297911843543,0.477855491593306,0.502521952589538,0.526891418157535,0.549622017880659,0.564013107007402
1999,1999,ThalamusProper_L_PercICV,73.6,0.43617926517301,0.451318806465202,0.474735713814842,0.49924038748589,0.523502496426439,0.546241662661209,0.560715221809618
2000,2000,ThalamusProper_L_PercICV,74.6,0.434588894681659,0.449398442465145,0.472256829848591,0.496162397687273,0.51988612674323,0.542234615830727,0.556540687375291
2001,2001,ThalamusProper_L_PercICV,75.6,0.433711761440828,0.448078973110412,0.470201847485225,0.49331887939766,0.516312552390783,0.53808817985039,0.552110743474554
2002,2002,ThalamusProper_L_PercICV,76.6,0.432846125447316,0.44683397307906,0.468313175503797,0.490731288919372,0.51307804862164,0.534355555643705,0.548142093442924
