"ROI_Name","Age","centile_5","centile_10","centile_25","centile_50","centile_75","centile_90","centile_95"
"M4_GM_L_PercICV",77.1,18.6231917240603,19.0599558292635,19.7272068658386,20.3593287264531,21.0207603916236,21.7889100533479,22.3360027862189
"M4_GM_L_PercICV",78.1,18.5295776649531,18.9572174134402,19.6164939998679,20.2516365632236,20.9152145948784,21.6699075306288,22.2000365233984
"M4_GM_L_PercICV",79.1,18.437356904851,18.8565937092045,19.5098130866297,20.1519718047449,20.8201882733147,21.5579432161325,22.065843281856
"M4_GM_L_PercICV",80.1,18.3478183212369,18.7596004759445,19.4087715031989,20.061456161374,20.736238430367,21.4542905572421,21.9362917058387
"M4_GM_L_PercICV",81.1,18.2629890504403,18.6687420716749,19.3162173983874,19.9824373672477,20.665023127054,21.3613302533512,21.8153281845514
"M4_GM_L_PercICV",82.1,18.1861461842203,18.5879634856078,19.236658775885,19.9189609094368,20.6098982938639,21.283229192576,21.7086124357547
"M4_GM_L_PercICV",83.1,18.1202967195555,18.5206637364898,19.1737845813931,19.8741906103332,20.5734989969878,21.2236218426931,21.6212098844631
"M4_GM_L_PercICV",84.1,18.0676854476802,18.4692335415524,19.130001134925,19.8499503254274,20.5572928064657,21.1849872571805,21.5567588885686
"M4_GM_L_PercICV",85.1,18.0271823697869,18.4323679269613,19.1036407702343,19.8439121235187,20.5586825071967,21.1654085874048,21.5139656805948
"M4_GM_L_PercICV",86.1,17.9960133342635,18.406931825021,19.0910057286835,19.8517743785133,20.5732174072072,21.1607822384535,21.4888937974626
"M4_GM_L_PercICV",87.1,17.9696856841815,18.3879688441346,19.0865802973576,19.8677642478239,20.5951476670963,21.1651918400605,21.4752418842476
"M4_GM_L_PercICV",88.1,17.9439291252034,18.3708507819189,19.0853302945202,19.8867353836755,20.6193450537053,21.1731653608588,21.4670369822547
"M4_GM_L_PercICV",89.1,17.9152289019528,18.3519982074724,19.0836289426066,19.9051497891459,20.6422669666612,21.1807129374322,21.4597568280986
"M4_WM_L_PercICV",55.1,16.3416051543142,16.5528100430919,16.92531654269,17.3713404058284,17.851460691676,18.3125632100316,18.6031103613869
"M4_WM_L_PercICV",56.1,16.2986333897691,16.5156162986868,16.8976887853775,17.3539966516282,17.845163507525,18.3181202580713,18.616702992155
"M4_WM_L_PercICV",57.1,16.2528260012053,16.4762151169823,16.8689043286054,17.3366440336851,17.8401433952685,18.3264069344103,18.6340443939434
"M4_WM_L_PercICV",58.1,16.2026188313415,16.4333693091988,16.8382927455707,17.319267023099,17.8371407942173,18.3390155340888,18.6573258901152
"M4_WM_L_PercICV",59.1,16.14670244014,16.3860361011903,16.8052819580427,17.3018512699415,17.8367867198489,18.3572944897644,18.6883980011719
"M4_WM_L_PercICV",60.1,16.0859929251587,16.3349116713321,16.7702150970167,17.284380621572,17.8386488928513,18.3802907810623,18.7259235555974
"M4_WM_L_PercICV",61.1,16.0232923181447,16.2821523247739,16.7341894663875,17.2668389340526,17.8414160462187,18.4050921246559,18.7658081038196
"M4_WM_L_PercICV",62.1,15.9642187805945,16.2320731919236,16.699395225166,17.2492134671249,17.8425040915468,18.4258671721161,18.7997908365847
"M4_WM_L_PercICV",63.1,15.9150576187874,16.189476974532,16.6682492387763,17.2315151719865,17.8391121649413,18.4361665384266,18.8186563186815
"M4_WM_L_PercICV",64.1,15.8811404531082,16.1583947101639,16.6427481753002,17.2138024998574,17.8290517300494,18.4307836336805,18.814887620563
