"ROI_Name","Age","centile_5","centile_10","centile_25","centile_50","centile_75","centile_90","centile_95"
"M4_cort_CSF",64.29,183384.052051899,196863.704286499,221843.38295229,253608.990780392,291249.404858298,332268.689099671,360746.586872648
"M4_cort_CSF",65.29,184452.537028781,198298.934509577,223684.422690321,255381.374989663,292760.141900284,333958.445747064,362796.470641004
"M4_cort_CSF",66.29,185838.529015272,199585.553996008,224990.188176666,257164.560570115,295041.313882894,335958.496304492,364152.422211479
"M4_cort_CSF",67.29,187484.190472128,200989.009199953,226258.848845467,258958.37434047,297394.419389133,337766.799211439,364980.217486146
"M4_cort_CSF",68.29,189300.573226206,202640.755809273,227792.535306292,260762.662844785,299402.832619312,339151.569777256,365505.392173292
"M4_cort_CSF",69.29,191210.507108094,204552.146520159,229680.404015207,262577.277887905,300951.016522073,340112.417626659,365911.480756714
"M4_cort_CSF",70.29,193213.277753755,206550.533619925,231632.445808457,264402.083561735,302441.837263404,340974.68783526,366209.533020358
"M4_cort_CSF",71.29,195304.225744286,208487.295506456,233405.244928082,266236.933419385,304201.956195029,341999.761588128,366417.772839658
"M4_cort_CSF",72.29,197432.11034925,210338.941455025,235006.78000301,268081.654137858,306214.423179807,343219.242192191,366643.489358539
"M4_cort_CSF",73.29,199525.102753495,212142.858013596,236564.066264293,269936.064360545,308306.521587713,344561.663442466,367022.979053335
"M4_cort_CSF",74.29,201469.984010591,214033.536153065,238401.36633935,271799.980424678,310050.768783375,345800.735351717,367757.330742908
"M4_cort_CSF",75.29,203190.518391872,216125.878607649,240772.99715836,273673.220454569,311125.103217486,346755.939391249,368964.71470639
"M4_cort_CSF",76.29,204769.562376884,218475.621914057,243686.889182911,275555.618269627,311542.966694548,347353.582142343,370471.286330466
"M4_cort_CSF",77.29,206364.108274801,221143.587633958,247082.80855061,277447.047218017,311409.981438344,347519.595037537,371985.017943981
"M4_cort_CSF",78.29,208163.971013728,224073.362204639,250680.77072213,279347.509873089,311099.247312578,347366.52005935,373176.038842887
"M4_cort_CSF",79.29,210236.691124439,227030.089271919,254054.317856556,281257.094850786,311133.929426555,347263.582369102,373946.966057674
"M4_cort_CSF",80.29,212474.251167098,229718.440331303,256868.490549252,283176.101862585,311895.665973001,347637.69287609,374503.791564578
"M4_cort_CSF",81.29,214745.813182412,231887.512642358,258882.029869043,285104.940193429,313644.6562438,348823.40245586,375075.192139616
"M4_cort_CSF",82.29,217029.539025611,233476.121778344,260022.747360303,287044.242120954,316449.689918389,350875.554072968,375697.831935642
"M4_cort_CSF",83.29,219461.85286898,234673.500561355,260432.660034288,288994.686219984,320142.014485532,353504.245969166,376156.76437469
"M4_cort_CSF",84.29,222169.168486654,235874.397058195,260582.395194816,290956.883888384,324169.119862714,356145.595319381,376269.321776327
"M4_cort_CSF",85.29,225052.3946574,237333.392673234,260967.982157851,292931.40328476,327939.641248279,358446.869916173,376208.402285104
"M4_cort_CSF",86.29,227784.787596258,239180.372472864,262108.179332251,294918.663175497,330828.092507443,360239.462152982,376468.677964734
"M4_cort_CSF",87.29,230099.372188888,241418.154066019,264230.617982957,296919.024475049,332567.816154646,361537.245731725,377420.613231966
"M4_cort_CSF",88.29,232009.206886179,244029.003220841,267285.340716685,298932.74896589,333242.227033375,362383.973566606,379013.370487916
"M4_cort_CSF",89.29,233663.153794582,247173.228761425,271390.190198323,300960.055544833,332752.269919131,362589.466301808,381011.594204013
"M4_GM_L_PercICV",50.29,18.5353191833934,19.1657269250742,20.1423967074482,21.1356665296148,22.0509628707483,22.8196955426756,23.2581946446185
"M4_GM_L_PercICV",51.29,18.5530955664037,19.159477259367,20.1034364149428,21.0683541139793,21.9613265146583,22.7137940039685,23.1439382271729
