"ROI_Name","Age","centile_5","centile_10","centile_25","centile_50","centile_75","centile_90","centile_95"
"M4_GM_L_PercICV",72.6,18.7109811339894,19.1567453523876,19.8745801679652,20.6428217079565,21.34170666766,21.8886755903281,22.1862958204105
"M4_GM_L_PercICV",73.6,18.6161073110841,19.0705526799925,19.7860063084965,20.5306585794797,21.2054475383133,21.7434037431917,22.0398716503396
"M4_GM_L_PercICV",74.6,18.5346450143853,18.995601756152,19.7037758565013,20.4186780217927,21.0642892760278,21.5902131414961,21.8842127726026
"M4_GM_L_PercICV",75.6,18.4648416266736,18.9284001597901,19.6245857883478,20.3069826837036,20.9230343710426,21.4382026160713,21.7310306362013
"M4_GM_L_PercICV",76.6,18.3942774135191,18.8587809770224,19.5429031068329,20.1956806247623,20.7866706792525,21.2958486285986,21.5906790805109
"M4_GM_L_PercICV",77.6,18.3192290819228,18.7832681163698,19.4566662655198,20.0848387595022,20.6570896068622,21.1664050560623,21.4672497990039
"M4_GM_L_PercICV",78.6,18.2421346579487,18.7029223088834,19.3659908002496,19.9744949892041,20.5343855923145,21.0501200789852,21.3612705706121
"M4_GM_L_PercICV",79.6,18.1698720460155,18.6222475254102,19.2726870543913,19.8646625481908,20.4171387530337,20.9445215616076,21.2699283094626
"M4_GM_L_PercICV",80.6,18.1062076617635,18.5441980179224,19.1781590877351,19.7553378119982,20.3038883714975,20.8466897790551,21.189601751147
"M4_GM_L_PercICV",81.6,18.0439436154458,18.4650456554095,19.0814364140885,19.6464915684481,20.1942410594711,20.7546321732854,21.1169038976513
"M4_GM_L_PercICV",82.6,17.9750278362813,18.380326842383,18.9812266493554,19.5380761318285,20.08799878073,20.6662573361351,21.0476661946202
"M4_GM_L_PercICV",83.6,17.892265057138,18.2858760791235,18.8763108846658,19.4300198179049,19.9848437451855,20.5789364125778,20.9764123039895
"M4_GM_L_PercICV",84.6,17.7953072244305,18.1814810650393,18.7666857609358,19.3222819088972,19.8844332554253,20.4910734778748,20.8998370315218
"M4_GM_L_PercICV",85.6,17.6895160289769,18.0704575366146,18.653540258468,19.214860954594,19.7864410477575,20.402739334863,20.8184413739762
"M4_GM_L_PercICV",86.6,17.5765380896227,17.9540055358831,18.5375236616504,19.1077988313493,19.6905945321118,20.3140266047714,20.7328170663505
