ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
MUSE_ICV,45,1173300.80014251,1207870.80508329,1275175.2995572,1367999.03143605,1471129.89850213,1561476.51640628,1614309.41208557
MUSE_ICV,46,1173877.32277026,1208589.14197846,1276074.71854035,1368965.58055958,1472100.43845084,1562527.59111279,1615449.68047189
MUSE_ICV,47,1174454.43045564,1209308.7988306002,1276976.11876205,1369933.90606553,1473072.48055988,1563580.40828967,1616591.94848366
MUSE_ICV,48,1175032.27027365,1210029.93149422,1277879.66684231,1370904.18529763,1474046.21527551,1564635.17035879,1617736.42601885
MUSE_ICV,49,1175610.9896572,1210752.69628425,1278785.52995695,1371876.59618545,1475021.83362914,1565692.08036198,1618883.32364012
MUSE_ICV,50,1176190.74253983,1211477.25619762,1279693.88219303,1372851.32374725,1475999.53386925,1566751.34868659,1620032.85934749
MUSE_ICV,51,1176771.69415124,1212203.78577166,1280604.909513,1373828.56516891,1476979.52664139,1567813.19832113,1621185.26387292
MUSE_ICV,52,1177354.01117263,1212932.46111696,1281518.79957517,1374808.51938639,1477962.02436278,1568877.85408212,1622340.76983423
MUSE_ICV,53,1177937.86254975,1213663.46078294,1282435.74270311,1375791.38820332,1478947.24251243,1569945.54406251,1623499.6132788
MUSE_ICV,54,1178523.46080205,1214397.00847401,1283355.97733385,1376777.42549601,1479935.45303873,1571016.55678012,1624662.09304731
MUSE_ICV,55,1179111.06147757,1215133.37251489,1284279.78948126,1377766.93663252,1480926.98371208,1572091.24048764,1625828.57006722
MUSE_ICV,56,1179700.92243098,1215872.82376264,1285207.46797854,1378760.23001452,1481922.16551611,1573169.94688074,1626999.40888581
MUSE_ICV,57,1180293.3010398,1216615.63276126,1286139.30150936,1379757.61393343,1482921.32931441,1574253.02761079,1628174.97409827
MUSE_ICV,58,1180888.44587094,1217362.06138637,1287075.57019705,1380759.38806535,1483924.79729681,1575340.8257994,1629355.62195388
MUSE_ICV,59,1181486.60085637,1218112.36703577,1288016.54982652,1381765.8477398998,1484932.88727016,1576433.68029354,1630541.70456426
MUSE_ICV,60,1182088.01035549,1218866.80770876,1288962.51696042,1382777.28911326,1485945.91785984,1577531.93082572,1631733.57500853
MUSE_ICV,61,1182692.90509414,1219625.62742657,1289913.73335161,1383793.9921963,1486964.18998989,1578635.89811315,1632931.56661261
MUSE_ICV,62,1183301.44999656,1220389.00212368,1290870.38808215,1384816.15787199,1487987.91818644,1579745.81005307,1634135.91610794
MUSE_ICV,63,1183913.79091692,1221157.08807135,1291832.64929009,1385843.96419753,1489017.29201481,1580861.86772556,1635346.83233446
