ROI,Age_At_Visit,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
702,94.5338809034908,1152411.737163,1198527.12771399,1282189.51142516,1386414.54586035,1495952.90466313,1592316.96496407,1649049.59788864
702,95.5338809034908,1151560.21430374,1197834.35849675,1281678.53444162,1385942.67828221,1495417.02624935,1591731.55789071,1648439.75574638
702,96.5338809034908,1150707.33467105,1197141.19672625,1281167.85050012,1385470.81070407,1494880.7935076,1591145.84973634,1647829.75123537
701,20.5338809034908,1101321.04375601,1136973.11187324,1207012.11422486,1304119.22071823,1408286.70085908,1493343.4572494,1540363.75120637
701,21.5338809034908,1098954.20491034,1134572.13933771,1204515.28964143,1301444.41981485,1405440.1407405,1490426.71891915,1537440.92670354
701,22.5338809034908,1096590.92531758,1132174.79588005,1202022.18806006,1298773.3362986,1402597.2209731,1487513.65524453,1534521.87062967
701,23.5338809034908,1094233.00478634,1129783.02048939,1199534.92927229,1296108.18361482,1399760.24969404,1484606.78880328,1531609.29199249
701,24.5338809034908,1091880.07910209,1127396.51296449,1197053.24221967,1293448.56671376,1396928.69106811,1481705.61012505,1528702.76611079
701,25.5338809034908,1089531.90305468,1125015.12015281,1194577.02919613,1290794.25111239,1394102.15395877,1478809.78432152,1525802.08068707
701,26.5338809034908,1087187.98993697,1122638.46150742,1192105.96497708,1288144.72683097,1391279.91781763,1475918.64425999,1522906.71015268
701,27.5338809034908,1084847.85697841,1120266.1545228,1189639.71836095,1285499.48461249,1388461.27026906,1473031.52663867,1520016.12539783
701,28.5338809034908,1082510.98413322,1117897.81911869,1187177.98716997,1282857.99306508,1385645.41762981,1470147.71447457,1517129.79669775
701,29.5338809034908,1080176.70394681,1115533.06268996,1184720.54624032,1280219.62240777,1382831.26556472,1467266.28317004,1514247.16631031
701,30.5338809034908,1077844.28994325,1113171.51654087,1182267.2506971,1277583.71832006,1380017.57364995,1464386.22083062,1511367.70049416
701,31.5338809034908,1075512.97882241,1110812.74248197,1179817.86152391,1274949.56367798,1377203.07445227,1461506.46178418,1508490.76978212
701,32.5338809034908,1073182.51607601,1108457.06097571,1177373.09635727,1272317.17120647,1374386.96314851,1458626.61749814,1505616.75566263
701,33.5338809034908,1070853.52106356,1106106.09322616,1174935.31214024,1269687.80588541,1371569.23101332,1455747.46259571,1502747.77361283
701,34.5338809034908,1068526.85824238,1103761.83075307,1172507.33501041,1267063.08265271,1368750.07750905,1452870.08653319,1499886.42493351
701,35.5338809034908,1066203.41056498,1101426.26535288,1170091.97903244,1264444.62147362,1365929.72502992,1449995.58799098,1497035.3004133
701,36.5338809034908,1063885.9597589,1099103.26030664,1167693.98810818,1261836.23874318,1363110.88589549,1447127.63684416,1494199.53023804
701,37.5338809034908,1061579.34980319,1096798.70837674,1165320.19662456,1259244.13514818,1360298.9810863,1444272.69765626,1491386.99996068
