ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
MUSE_ICV,68.29158000000001,1165435.79603729,1206083.42050128,1283823.646293,1388449.14190401,1504906.10197613,1610045.13268053,1673066.98279185
MUSE_ICV,69.29158000000001,1168942.7071053002,1209348.37895188,1286401.57417771,1389655.11745508,1504173.73210033,1607346.61315578,1669099.15381248
MUSE_ICV,70.29158000000001,1172649.62358339,1212760.92388947,1289026.13138194,1390775.39544129,1503215.26993698,1604299.82208224,1664712.25276572
MUSE_ICV,71.29158000000001,1176301.80832731,1216106.7189976003,1291566.56893637,1391804.02480684,1502178.85904088,1601204.71018947,1660302.65706849
MUSE_ICV,72.29158000000001,1179555.11298803,1219097.03590149,1293846.36848737,1392726.97955415,1501245.68036512,1598431.11713441,1656358.50481404
MUSE_ICV,73.29158000000001,1182010.7030838998,1221398.45862632,1295662.26646765,1393524.75058412,1500611.96000167,1596380.4867200002,1653408.54390933
MUSE_ICV,74.29158000000001,1183388.4408038,1222777.9700198,1296872.64766546,1394179.82033634,1500400.56171763,1595305.78361502,1651784.97550085
MUSE_ICV,75.29158000000001,1183580.6857218,1223146.74259473,1297422.65154856,1394677.94347115,1500637.22611291,1595266.03453138,1651565.44739001
MUSE_ICV,76.29158000000001,1182521.00170645,1222450.02311361,1297277.51971872,1395005.70823553,1501326.84183351,1596279.86040371,1652775.55651339
MUSE_ICV,77.29158000000001,1180276.27613833,1220743.3623724,1296467.50703799,1395151.70886595,1502403.41393488,1598226.50809442,1655259.38065507
MUSE_ICV,78.29158000000001,1176953.06310354,1218114.71036488,1295041.62358564,1395105.6805345,1503783.21451877,1600950.76444933,1658816.67333736
MUSE_ICV,79.29158000000001,1172788.73791447,1214760.784554,1293114.51763281,1394863.60105981,1505320.14506022,1604170.00572776,1663079.47988797
MUSE_ICV,80.29158000000001,1168112.73781164,1210954.63043568,1290846.52929203,1394425.35937043,1506823.83880957,1607511.26386526,1667560.76845309
MUSE_ICV,81.29158000000001,1163340.94286032,1207042.37577571,1288445.03689032,1393802.46031678,1508074.50811062,1610532.38793653,1671679.30885573
MUSE_ICV,82.29158000000001,1158999.6402939,1203463.49513664,1286177.54130854,1393021.43597724,1508815.25878227,1612703.69633614,1674734.6651121
MUSE_ICV,83.29158000000001,1155534.83599618,1200590.33876253,1284271.56837333,1392109.43514058,1508839.59198958,1613594.24832574,1676155.58380862
MUSE_ICV,84.29158000000001,1153046.92397535,1198508.64843225,1282785.94581844,1391092.37557851,1508138.85921647,1613163.55002139,1675882.23004722
MUSE_ICV,85.29158000000001,1151545.87368022,1197228.5841336001,1281734.10387549,1389994.45278591,1506755.5552643,1611474.28677062,1673991.00429957
MUSE_ICV,86.29158000000001,1150945.4039806002,1196678.53898649,1281076.74551481,1388828.23697864,1504769.39764792,1608673.96488387,1670673.15618246
MUSE_ICV,87.29158000000001,1151109.34365743,1196744.89391202,1280748.00834545,1387600.7769767,1502278.75343632,1604951.8467297,1666176.07412552
MUSE_ICV,88.29158000000001,1151927.74150757,1197336.20580243,1280695.97058188,1386320.83996426,1499368.57736807,1600468.8307335,1660709.24691131
MUSE_ICV,89.29158000000001,1153323.25094742,1198388.4771224,1280885.75525533,1384999.11345036,1496107.29138562,1595351.11449854,1654435.90784928
MUSE_ICV,90.29158000000001,1155207.58761551,1199829.0030087,1281277.66655902,1383645.74154729,1492566.55672034,1589731.00841554,1647526.87424278
MUSE_ICV,91.29158000000001,1157466.28289363,1201563.8777542,1281819.75116675,1382269.2852504998,1488827.1505046003,1583759.11232674,1640176.52803892
MUSE_ICV,92.29158000000001,1159986.77827124,1203501.29445488,1282461.6898110001,1380877.68757071,1484965.02411225,1577576.21085941,1632565.93070507
MUSE_ICV,93.29158000000001,1162678.8396941002,1205567.91234737,1283163.49483237,1379476.93141157,1481038.86972968,1571290.6051858999,1624833.93478227
MUSE_ICV,94.29158000000001,1165464.78717554,1207700.95512621,1283891.30541403,1378072.04370971,1477097.32463873,1564991.35427346,1617094.23547346
MUSE_ICV,95.29158000000001,1168282.45670792,1209850.33289448,1284618.05764392,1376666.14457317,1473176.53119375,1558744.66392697,1609431.13479373
MUSE_TBR,50.291579999999996,881444.7983071409,924332.514445558,1007326.93816377,1120889.85206025,1250080.40977663,1369475.41310899,1442245.94469361
MUSE_TBR,51.291579999999996,889619.4578122209,931465.6929304029,1012212.12685194,1122230.64525134,1246757.85989565,1361271.47054357,1430812.89314242
MUSE_TBR,52.291579999999996,897503.8197238409,938339.93981057,1016922.56754893,1123562.84210053,1243689.829384,1353637.7217946001,1420176.99622573
MUSE_TBR,53.29158,904965.938387664,944844.390555433,1021389.15176358,1124875.30419392,1240930.13896692,1346685.07309752,1410481.87473489
MUSE_TBR,54.29158,911859.290894489,950856.3437640109,1025535.79922254,1126155.69339354,1238536.82743568,1340532.7217366002,1401881.57417485
MUSE_TBR,55.29158,918036.7117507759,956253.063363038,1029286.93371813,1127391.6863452,1236565.89065949,1335294.75243169,1394522.72682519
MUSE_TBR,56.29158,923443.368770025,960989.509452373,1032614.08162384,1128571.93728563,1235016.80648793,1330971.71643762,1388402.16494346
MUSE_TBR,57.29158,928090.633794578,965075.9879264759,1035522.10881194,1129686.63458025,1233852.74386821,1327491.94390709,1383422.38014044
MUSE_TBR,58.29158,932017.491812195,968545.309272662,1038028.73015738,1130726.28057867,1233024.18797314,1324760.52475796,1379456.95178827
MUSE_TBR,59.29158,935293.17798088,971454.948199469,1040165.7226798,1131681.53201722,1232467.0714097999,1322655.68006562,1376345.74108304
MUSE_TBR,60.29158,937955.2710806999,973834.899732372,1041946.29144416,1132538.32047897,1232130.52081332,1321087.29820238,1373972.38691545
MUSE_TBR,61.29158,939978.7566989,975661.24264179,1043347.39775156,1133272.18969354,1231984.69084665,1320016.93885222,1372291.54968489
MUSE_TBR,62.29158,941347.7117634909,976917.298605538,1044349.6477319,1133857.42107518,1231993.02062612,1319394.61983991,1371243.53311531
MUSE_TBR,63.29158,942152.921778546,977675.269975091,1044986.49567625,1134269.08662079,1232057.58614842,1319049.56641449,1370610.91278208
MUSE_TBR,64.29158000000001,942528.645382155,978043.525564407,1045313.09854746,1134483.68012161,1232058.52593022,1318767.53427381,1370119.77453106
