ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
MUSE_GM,60,536457.425708053,560315.434674978,600679.947564488,646307.002055048,692189.823515901,733213.334025903,757656.358370669
MUSE_GM,61,533142.368203933,557218.32644727,597849.202007495,643623.413671443,689562.327586086,730618.44854022,755072.583645033
MUSE_GM,62,529462.970255669,553744.890687445,594651.244011263,640632.718374047,686686.450992381,727779.479072139,752227.521560038
MUSE_GM,63,525533.645660773,550004.929354032,591187.290186383,637424.447661425,683639.163237974,724763.594377444,749183.347443903
MUSE_GM,64,521489.3414316,546127.955306622,587576.149395199,634102.223281773,680508.265293056,721647.278430942,746011.249048986
MUSE_GM,65,517464.098069718,542242.251847795,583934.83537253,630767.252515489,677378.827578735,718504.453152243,742780.146196355
MUSE_GM,66,513562.887606519,538446.397191217,580348.996966261,627486.5910391,674299.325462905,715371.587162828,739521.519720787
MUSE_GM,67,509843.135280955,534790.605886172,576853.53441852,624272.263686721,671259.326590224,712224.737924459,736206.290218913
MUSE_GM,68,506358.584585416,531321.215328811,573478.926107156,621130.936377799,668242.537595589,709034.469358313,732800.356540476
MUSE_GM,69,503161.097017734,528083.059591233,570254.714571832,618068.888728456,665233.254266925,705773.350851622,729272.590237156
MUSE_GM,70,500267.993668172,525092.530726737,567192.968900376,615088.469245427,662225.384711836,702434.345383332,725618.062766782
MUSE_GM,71,497669.180351646,522343.499724332,564292.001051588,612189.07706052,659220.484015272,699026.136097348,721851.749924378
MUSE_GM,72,495352.610659782,519828.318910238,561549.286523007,609370.060175853,656220.786806506,695558.452661084,717989.715647631
MUSE_GM,73,493308.017758018,517540.484840637,558962.619481606,606630.628577612,653227.907537347,692039.376735363,714045.476450247
MUSE_GM,74,491539.764217383,515483.596813258,556533.682241926,603969.143086603,650238.057298308,688465.842529908,710017.300550863
MUSE_GM,75,490056.197201217,513663.994052788,554265.184551746,601383.71199422,647246.004688826,684831.801556071,705899.349205155
MUSE_GM,76,488864.023674911,512086.831979568,552159.289456832,598872.471613593,644247.118030263,681132.335115008,701687.214628636
MUSE_GM,77,487956.339833166,510745.937210952,550210.508218865,596429.881490334,641236.819625661,677365.568854761,697381.168768435
MUSE_GM,78,487298.481189164,509611.741410863,548397.151081723,594042.172569325,638209.675698963,673534.456194783,692989.353279126
MUSE_GM,79,486851.840211552,508651.437294291,546695.406616309,591694.670284489,635160.289398401,669642.418082332,688520.482099014
MUSE_GM,80,486577.911725876,507832.447128049,545081.856589771,589373.240987984,632083.747752351,665693.020531578,683983.111011029
MUSE_GM,81,486439.192701809,507124.908384346,543538.281643605,587071.161183958,628984.434223101,661700.777231476,679397.720722763
MUSE_GM,82,486400.049863875,506502.236512552,542051.844038712,584789.058256425,625875.733859249,657690.524019593,674795.853334367
